portfolio,trade id,product,side,created at,date,time,yyyy,mm,dd,hh,mm2,ss,ms,datobj,timeobs,datetimeobj,timestamp,size,size unit,price,fee,total,price/fee/total unit,accttime,
default,,BTC-USD,BUY,2019-08-28T01:32:08.432Z,8/28/2019,01:32:08.457Z,2019,8,28,1,32,8.457,457,8/28/2019,1:32:08 AM,8/28/2019 1:32,1566955928,0.01,BTC,10134,0.15201,-101.49201,USD,2019-08-28T01:32:08.457Z,
default,,BTC-USD,BUY,2019-08-29T04:04:19.759Z,8/29/2019,04:04:19.773Z,2019,8,29,4,4,19.773,773,8/29/2019,4:04:20 AM,8/29/2019 4:04,1567051460,0.001,BTC,9580.13,0.014370195,-9.594500195,USD,2019-08-29T04:04:19.773Z,TRUE
default,,BTC-USD,BUY,2019-08-29T04:16:22.868Z,8/29/2019,04:16:22.883Z,2019,8,29,4,16,22.883,883,8/29/2019,4:16:23 AM,8/29/2019 4:16,1567052183,0.001,BTC,9606.01,0.014409015,-9.620419015,USD,2019-08-29T04:16:22.883Z,TRUE
default,,BTC-USD,BUY,2019-08-29T04:19:19.855Z,8/29/2019,04:19:19.868Z,2019,8,29,4,19,19.868,868,8/29/2019,4:19:20 AM,8/29/2019 4:19,1567052360,0.001,BTC,9602.92,0.0240073,-9.6269273,USD,2019-08-29T04:19:19.868Z,TRUE
default,,BTC-USD,BUY,2019-08-29T04:25:31.989Z,8/29/2019,04:25:32.001Z,2019,8,29,4,25,32.001,1,8/29/2019,4:25:32 AM,8/29/2019 4:25,1567052732,0.001,BTC,9581.28,0.01437192,-9.59565192,USD,2019-08-29T04:25:32.001Z,TRUE
default,,BTC-USD,BUY,2019-08-30T02:44:57.140Z,8/30/2019,02:44:57.025Z,2019,8,30,2,44,57.025,25,8/30/2019,2:44:57 AM,8/30/2019 2:44,1567133097,0.001,BTC,9428.64,0.0235716,-9.4522116,USD,2019-08-30T02:44:57.025Z,TRUE
default,,BTC-USD,BUY,2019-08-30T02:47:57.180Z,8/30/2019,02:47:57.028Z,2019,8,30,2,47,57.028,28,8/30/2019,2:47:57 AM,8/30/2019 2:47,1567133277,0.001,BTC,9440,0.0236,-9.4636,USD,2019-08-30T02:47:57.028Z,TRUE
default,,BTC-USD,BUY,2019-08-30T03:21:58.105Z,8/30/2019,03:21:58.122Z,2019,8,30,3,21,58.122,122,8/30/2019,3:21:58 AM,8/30/2019 3:21,1567135318,0.001,BTC,9457.47,0.023643675,-9.481113675,USD,2019-08-30T03:21:58.122Z,TRUE
default,,BTC-USD,BUY,2019-08-30T03:27:46.525Z,8/30/2019,03:27:46.644Z,2019,8,30,3,27,46.644,644,8/30/2019,3:27:47 AM,8/30/2019 3:27,1567135667,0.001,BTC,9452.58,0.02363145,-9.47621145,USD,2019-08-30T03:27:46.644Z,TRUE
default,,BTC-USD,SELL,2019-08-30T03:46:01.699Z,8/30/2019,03:46:01.712Z,2019,8,30,3,46,1.712,712,8/30/2019,3:46:02 AM,8/30/2019 3:46,1567136762,0.001,BTC,9473.42,0.02368355,9.44973645,USD,2019-08-30T03:46:01.712Z,TRUE
default,,BTC-USD,SELL,2019-08-30T22:58:40.685Z,8/30/2019,22:58:40.696Z,2019,8,30,22,58,40.696,696,8/30/2019,10:58:41 PM,8/30/2019 22:58,1567205921,0.001,BTC,9595.99,0.023989975,9.572000025,USD,2019-08-30T22:58:40.696Z,TRUE
default,,BTC-USD,SELL,2019-08-30T23:00:50.422Z,8/30/2019,23:00:50.433Z,2019,8,30,23,0,50.433,433,8/30/2019,11:00:50 PM,8/30/2019 23:00,1567206050,0.001,BTC,9597.16,0.0239929,9.5731671,USD,2019-08-30T23:00:50.433Z,TRUE
default,,BTC-USD,SELL,2019-08-30T23:02:44.963Z,8/30/2019,23:02:44.975Z,2019,8,30,23,2,44.975,975,8/30/2019,11:02:45 PM,8/30/2019 23:02,1567206165,0.001,BTC,9598.35,0.023995875,9.574354125,USD,2019-08-30T23:02:44.975Z,TRUE
default,,BTC-USD,SELL,2019-08-30T23:06:27.366Z,8/30/2019,23:06:27.377Z,2019,8,30,23,6,27.377,377,8/30/2019,11:06:27 PM,8/30/2019 23:06,1567206387,0.001,BTC,9600.85,0.024002125,9.576847875,USD,2019-08-30T23:06:27.377Z,TRUE
